property_name,seller,facilities,advantages,column0,column1,column2,column3,column4,column5,floors,units,total project area,towers,open area,address
Aspire Spaces Ameya,ASPIRE SPACES PRIVATE LIMITEDBuilder,20,8.183333333,3,Apartment,Super Built-up Area,1717.5,(138.89 - 180.23 sq.m.),1.08085,13,1066,10.0042294,9,,"miyapur,hyderabad"
Akruthi Stavya,Akruthi constructions & DevelopersBuilder,18,10.07777778,2,Apartment,Super Built-up Area,1207.5,(109.63 - 114.74 sq.m.),0.65205,5,47,1.007337443,1,,"bachupally,hyderabad"
Akruthi Stavya,Akruthi constructions & DevelopersBuilder,18,10.07777778,3,Apartment,Super Built-up Area,1490,(138.43 sq.m.),0.8046,5,47,1.007337443,1,,"bachupally,hyderabad"
Shree Krishna Homes,SHREE KRISHNA HOMESBuilder,18,15.05,2,Apartment,Super Built-up Area,1170,(102.19 - 115.2 sq.m.),0.5499,5,352,3.99,4,,"kompally,hyderabad"
Shree Krishna Homes,SHREE KRISHNA HOMESBuilder,18,15.05,3,Apartment,Super Built-up Area,1495,(122.63 - 155.15 sq.m.),0.70265,5,352,3.99,4,,"kompally,hyderabad"
IRA Aspiration,IRA RealtyBuilder,23,4.15,2,Apartment,Super Built-up Area,1295,(120.31 sq.m.),0.7769,9,748,8,5,60%,"kollur,hyderabad"
IRA Aspiration,IRA RealtyBuilder,23,4.15,3,Apartment,Super Built-up Area,1845,(138.89 - 203.92 sq.m.),1.10845,9,748,8,5,60%,"kollur,hyderabad"
Ira Miracle,IRA RealtyBuilder,22,3.476923077,3,Apartment,Super Built-up Area,2055,(153.75 - 228.08 sq.m.),1.2314,14,274,3,1,20%,"kollur,hyderabad"
KSR Signature 4,K S R HOMES INDIA PRIVATE LIMITEDBuilder,23,10.33846154,2,Apartment,Super Built-up Area,1172.5,(104.24 - 113.62 sq.m.),0.76215,5,294,3.5,5,,"tellapur,hyderabad"
KSR Signature 4,K S R HOMES INDIA PRIVATE LIMITEDBuilder,23,10.33846154,3,Apartment,Super Built-up Area,1855,(140.0 - 204.67 sq.m.),1.2048,5,294,3.5,5,,"tellapur,hyderabad"
Akruthi Sri Vatsa,Akruthi constructions & DevelopersBuilder,21,15.60833333,2,Apartment,Super Built-up Area,1200,(102.19 - 120.77 sq.m.),0.66,5,131,1.597971197,1,,"mallampet,hyderabad"
Akruthi Sri Vatsa,Akruthi constructions & DevelopersBuilder,21,15.60833333,3,Apartment,Super Built-up Area,1627.5,(148.18 - 154.22 sq.m.),0.89515,5,131,1.597971197,1,,"mallampet,hyderabad"
Incor Lake City,Incor Lake City Projects Private Limited Builder,21,1.276666667,1,Apartment,Super Built-up Area,794,(73.77 sq.m.),0.524,40,4000,32,5,,"patancheru,hyderabad"
Incor Lake City,Incor Lake City Projects Private Limited Builder,21,1.276666667,2,Apartment,Super Built-up Area,1251.5,(98.66 - 133.87 sq.m.),0.82585,40,4000,32,5,,"patancheru,hyderabad"
Incor Lake City,Incor Lake City Projects Private Limited Builder,21,1.276666667,3,Apartment,Super Built-up Area,1598.5,(127.18 - 169.83 sq.m.),1.0567,40,4000,32,5,,"patancheru,hyderabad"
RSR The Garden View,RSR greenway InfraBuilder,25,15.86923077,2,Apartment,Carpet Area,1345.5,(122.91 - 127.09 sq.m.),0.47095,18,288,3,1,70%,"kollur,hyderabad"
RSR The Garden View,RSR greenway InfraBuilder,25,15.86923077,3,Apartment,Carpet Area,1843.5,(152.92 - 189.62 sq.m.),0.64525,18,288,3,1,70%,"kollur,hyderabad"
RSR The Garden View,RSR greenway InfraBuilder,25,15.86923077,4,Apartment,Carpet Area,2225,(206.71 sq.m.),0.7788,18,288,3,1,70%,"kollur,hyderabad"
Risinia The Twinz,Risinia BuildersBuilder,27,13.13,2,Apartment,Super Built-up Area,1360,(120.31 - 132.39 sq.m.),0.748,15,555,3,2,,"bachupally,hyderabad"
Risinia The Twinz,Risinia BuildersBuilder,27,13.13,3,Apartment,Super Built-up Area,1857.5,(158.4 - 186.74 sq.m.),1.0239,15,555,3,2,,"bachupally,hyderabad"
The Edge by Risinia,Risinia BuildersBuilder,18,10.96666667,2,Apartment,Super Built-up Area,1321,(121.89 - 123.56 sq.m.),0.73965,,272,,,,"Pragathi nagar,hyderabad"
